id_code, seismic_type, f_0, f_1, f_2, f_3, f_4, f_5, f_6, f_7, f_8, f_9, f_10, f_11, f_12, f_13, f_14, f_15, f_16, f_17, f_18, f_19, f_20, f_21, f_22, f_23, f_24, f_25, f_26, f_27, f_28, f_29, f_30, f_31, f_32, f_33, f_34, f_35, f_36, f_37, f_38, f_39, f_40, f_41, f_42, f_43, f_44, f_45, f_46, f_47, f_48, f_49, f_50, f_51, f_52, f_53, f_54, f_55, f_56, f_57, f_58, f_59, f_60, f_61, f_62, f_63, f_64, f_65, f_66, f_67, f_68, f_69, f_70, f_71, f_72, f_73, f_74, f_75, f_76, f_77, f_78, f_79, f_80, f_81, f_82, f_83, f_84, f_85, f_86, f_87, f_88, f_89, f_90, f_91, f_92, f_93, f_94, f_95 
EC.BREF..BHZ.2019.01.01.001404, HB , 0.464601040907, 5.63631412491, 0.5610739632, 4840000.0, 2602437.73513, -0.211427745914, 1.32886838953, 28.6566080941, 0.000447345071951, 0.0363042500785, 0.447004958678, -0.385891528926, 1.27376739524, 3.48899703675, 7.3318756441, 0.929125891893, 2.96478005809, 6.81670755956, 0.53605290024, 2.13045509685, 5.41191660023, 20.461404977, 11.7252978652, 134.013842763, 2001.0, 5207477908.0, -2200.0, -902.0, -1607.63118441, 1.36847308098, 11.24, 11.76, 44.3826663307, 1980.09548437, 646.094956378, 1.03482525969e+13, 5207477908.0, 4.08793789985, 16.9353971997, 2.0563964011e+16, 3915757.16715, 242555997.627, 0.000303784125062, -0.999683861465, 0.00620131930995, 0.00620131930995, 0.817273054886, 0.00144197381359, 0.00144197381359, 0.46305465602, 0.000721167243654, 0.000721167243654, 0.247116630964, 0.138091218587, 2.1479848787, 71990.8885484, 2001.0, 1.04201632939e+13, 7.03666510438, 3216870.0, 4978.9430613, 0.00141328491163, 21.84, 0.0, 10.2481994257, 218.180088136, 3.09706797778, 9.92586803167e+13, 1.04201632939e+13, 0.0378219572801, 1.3274174649, 2.21263321145e+16, 0.333764346019, 0.0849433218975, 0.316859097772, -0.634973799789, 0.191395571252, 1.48518444877, 5.10848165821, 0.0793872400242, 1.21995252197, 4.6937760028, 0.0402094571246, 1.07776220301, 3.73768676141, 19.9147436422, 11.91333821, 268161.699368, 2001.0, 2.08507467511e+16, 2140452.60116, 9962865.06567, 3216870.0, 0.665383618598, 39.96, 0.0 
EC.BREF..BHZ.2019.01.01.002657, LP , 0.0275079330203, 4.78706417412, 0.811973794725, 3617604.0, 2483838.29025, -0.170383280567, 1.33937141416, -90.6719274659, 0.000286098682119, 0.0332040909673, 0.183488574205, -0.153051301359, 1.44854162888, 3.89822174731, 7.55862409602, 1.08825667027, 3.52725508855, 7.18903390407, 0.632352982681, 2.79050081635, 5.82612472608, 8.63579228297, 4.92670084845, 80.8921913776, 851.0, 2113746385.0, -1902.0, -1278.0, -1573.94242068, 1.20843048323, 4.7, 3.98, 29.0463910449, 846.121840173, 448.566336223, 1.79405933062e+12, 2113746385.0, 5.22772992273, 27.4977667969, 1.52272250344e+15, 715954.885913, 18878082.4299, 0.000121434684779, -0.999946035963, 0.0131314481592, 0.0131314481592, 0.777130525109, 0.00339058451343, 0.00339058451343, 0.415509708907, 0.0016962906609, 0.0016962906609, 0.217315483402, 0.022419165533, 0.58049160966, 45878.4275034, 851.0, 1.79879817364e+12, 16.6712950638, 1339425.0, 2986.01319769, 0.00558312839231, 10.3, 0.0, 9.46546713189, 141.225678359, 1.89715529517, 6.45717513858e+12, 1.79879817364e+12, 0.0258494484586, 1.33934280275, 1.55618219375e+15, 0.0272436846116, 0.0328916921829, 0.28272532413, -0.333029481469, 0.157975898464, 1.80777330178, 5.56710869546, 0.0578066503736, 1.4614754864, 5.27212032809, 0.0291117482413, 1.14805282096, 4.20945336563, 8.47410283692, 4.99109774269, 68839.2548623, 851.0, 1.53077724576e+15, 1191460.60737, 2541097.23123, 1339425.0, 0.889531408902, 15.6, 0.0 
EC.BREF..BHZ.2019.01.01.005920, OTRO , 0.515938191115, 6.35243002226, 0.606484440098, 4460544.0, 2424679.47271, -0.209041534305, 1.3331659595, 768.440688139, 0.000678072927696, 0.036456247473, 0.433319344008, -0.450106534091, 1.29425142191, 3.60227741218, 7.39334029331, 0.888166340657, 3.16373826361, 7.0050761637, 0.493656205302, 2.5252262843, 5.70154905694, 13.2263453502, 7.56176725503, 131.627043291, 1301.0, 3154507994.0, -2112.0, -941.0, -1551.56495004, 1.36120630976, 8.9, 6.94, 35.7575094272, 1285.66785754, 467.939201078, 4.06851894125e+12, 3152170153.0, 4.01600878201, 16.3788115128, 5.2512563948e+15, 1650162.18879, 66300913.7562, 0.000221715975603, -0.999774472145, 0.00906648917213, 0.00906648917213, 1.08110362034, 0.00221952995557, 0.00221952995557, 0.637598007699, 0.00111019246794, 0.00111019246794, 0.342887713523, 0.0929589972264, 1.36224747324, 55978.4748745, 1300.0, 4.0978211989e+12, 0.74275308562, 2017057.0, 4310.51084276, 0.000172312079174, 13.58, 0.0, 8.0762545965, 162.765846092, 2.77813869196, 3.14010512963e+13, 4.0978211989e+12, 0.0383202387855, 1.32682421911, 5.62620166207e+15, 0.242577472542, 0.0597044781424, 0.344721272459, -0.610104037359, 0.22378923533, 1.53990257552, 5.15187226869, 0.0955892137506, 1.17821782286, 4.70190535271, 0.0485269734953, 0.795473999457, 3.7295860638, 12.9233713484, 7.69702469028, 171179.022228, 1300.0, 5.32716755857e+15, 921972.732175, 5603664.09559, 2017057.0, 0.457088090309, 25.94, 0.0 
EC.BREF..BHZ.2019.01.01.012329, LP , -0.464521632717, 4.73563635673, 0.675463563033, 4901796.0, 2624844.15588, 0.338357447385, 1.33947925534, 174.080108269, 0.0034994513609, 0.0356607931284, 0.260188510497, -0.290832176614, 1.41784591069, 3.7110403797, 7.48992810101, 1.15079792054, 3.40427947474, 7.19524321189, 0.72471658418, 2.64500988439, 5.89654865139, 11.9456046857, 7.30292626419, 126.550180662, 1251.0, 3283680039.0, -2214.0, -1091.0, -1615.18705036, 1.37073907292, 7.7, 7.5, 35.0804096476, 1236.99625217, 507.255448322, 4.07660732172e+12, 3281314595.0, 4.23648486112, 18.048950874, 5.06466217258e+15, 1530360.00502, 59175950.7266, 0.00072219676825, -0.999213800622, 0.00938386415078, 0.00938386415078, 0.972017950798, 0.00230831107936, 0.00230831107936, 0.583806038347, 0.00115461794149, 0.00115461794149, 0.311864411543, 0.0762984508317, 1.31246923528, 57144.3024503, 1250.0, 4.10164324375e+12, 17.9938924936, 2019061.0, 3980.3633587, 0.00452066579657, 10.34, 0.0, 9.18941674044, 143.481309453, 2.4642416442, 2.47551444801e+13, 4.10164324375e+12, 0.0437447454514, 1.31603123816, 5.36828368728e+15, 0.148677945709, 0.0417084741804, 0.324521105747, -0.336640547425, 0.0437100727018, 1.95205894754, 5.70753473763, 0.0115563284085, 1.66680345138, 5.40714439024, 0.00578235259401, 1.12029423372, 4.38082178394, 12.4396457883, 7.52197518766, 158227.437662, 1250.0, 5.12705405469e+15, 1827923.51636, 4975454.19837, 2019061.0, 0.905333477475, 0.2, 0.0 
EC.BREF..BHZ.2019.01.01.012416, HB , 0.839711352485, 8.80176700074, 0.218679751764, 9000000.0, 2594349.09416, -0.394750079883, 1.33311478418, 581.93761445, 0.0120064520763, 0.0436728459542, 0.425494666667, -0.453697444444, 0.717000406331, 3.10289969285, 6.97370965775, 0.41105388311, 2.77257839237, 6.68742381498, 0.218350548503, 2.46627806195, 5.89254281665, 20.3094651493, 11.1622279785, 217.534254108, 1901.0, 4931857628.0, -3000.0, -349.0, -1595.94108364, 1.8797686398, 11.58, 11.66, 42.7154884117, 1848.95225044, 450.487914187, 9.19341816422e+12, 4928548867.0, 3.20023020431, 10.354518332, 1.71490112088e+16, 3410526.79298, 198273478.851, 0.00194113097579, -0.997906714074, 0.00649163106363, 0.0184210618543, 1.39476873691, 0.00151862607816, 0.00455747509743, 0.909608197738, 0.000759513068813, 0.00227973980683, 0.498393245774, 0.346602392884, 3.36564203762, 69880.2372678, 1900.0, 9.3642428473e+12, 23.9202018698, 3032065.0, 6730.62451736, 0.00355393497411, 17.18, 0.0, 11.4580342912, 232.150500978, 4.21764922024, 1.63537716081e+14, 9.3642428473e+12, 0.0762080153253, 1.29737193664, 2.24259915457e+16, 3.08633077075, 1.10354848514, 0.416941869941, -0.436913461808, 0.297959369134, 1.46866743944, 5.23008168915, 0.144255847359, 1.02968963009, 4.87332287727, 0.0740005814438, 0.58572201379, 4.08442878116, 18.8253593817, 11.7628510237, 413309.42776, 1900.0, 1.77920614099e+16, 1220787.40404, 12788186.583, 3032065.0, 0.4026257366, 37.92, 0.0 
EC.BREF..BHZ.2019.01.01.001404, OTRO , 0.175522066589, 5.22189753513, 0.568940253167, 4840000.0, 2534217.63158, 0.0576910368505, 1.33398917115, 113.410549981, 0.00234451340385, 0.0371787925563, 0.447004958678, -0.385891528926, 1.29478219439, 3.62605097235, 7.43657505881, 0.905044625596, 3.15358411429, 7.01140272027, 0.504584349507, 2.25250024323, 5.79682075946, 15.0479793035, 8.74254138934, 143.91887228, 1501.0, 3803860665.0, -2200.0, -902.0, -1585.40373085, 1.38765915407, 11.24, 11.76, 38.3916292483, 1482.83670717, 490.861941102, 5.66292925548e+12, 3803860665.0, 3.90663553809, 15.4945160843, 8.43059090318e+15, 2193780.96759, 101718544.529, 0.000415119343434, -0.999914143509, 0.00799062133097, 0.00799062133097, 1.09833351452, 0.00192231127724, 0.00192231127724, 0.656219258808, 0.000961476237445, 0.000961476237445, 0.352035916784, 0.122679579495, 1.72750243094, 61484.6136274, 1501.0, 5.70959485816e+12, 3.8825762174, 2379691.0, 4847.98433274, 0.000800864019131, 16.38, 0.0, 9.37060959026, 189.068247529, 3.05788629005, 5.29521745629e+13, 5.70959485817e+12, 0.0376418785657, 1.33748947293, 9.19204426413e+15, 0.400172078801, 0.0937626275693, 0.313480762403, -0.645723121196, 0.322723355267, 1.55823262733, 5.29490914633, 0.159544603378, 1.12518507971, 4.91280089146, 0.0820664443812, 0.678264149105, 4.194156257, 14.9172575623, 8.86844198134, 216022.227292, 1501.0, 8.57010188211e+15, 1441930.62143, 7276824.48345, 2379691.0, 0.605931871589, 29.96, 0.0 
EC.BREF..BHZ.2019.01.01.005919, OTRO , 0.554332730189, 7.07036812616, 0.606107588269, 4460544.0, 2425664.96003, -0.205252694457, 1.33822567952, 75.7706653923, 0.000578832725839, 0.0358524609866, 0.433319344008, -0.450106534091, 1.19946700731, 3.48655938957, 7.3023869451, 0.788557834838, 3.03261947391, 6.88932511849, 0.431470384279, 2.39183692484, 5.50731414226, 15.2210248313, 8.69133434091, 123.760476392, 1501.0, 3640923105.0, -2112.0, -941.0, -1552.5296469, 1.36036049567, 9.9, 7.94, 38.4629385092, 1486.54076572, 534.07508882, 5.43051714041e+12, 3640923105.0, 4.14665570292, 17.4557715785, 8.09973852444e+15, 2206146.46268, 102484241.954, 0.000158942888132, -0.999821266376, 0.00799062133097, 0.00799062133097, 0.966128827967, 0.00192231127724, 0.00192231127724, 0.546325891686, 0.000961476237445, 0.000961476237445, 0.289613416251, 0.0947793710573, 1.48179695782, 60182.0939951, 1501.0, 5.4650255806e+12, 1.83290583609, 2330347.0, 4363.33213959, 0.00042007020723, 15.48, 0.0, 9.13208822097, 194.56166124, 2.81046622736, 4.28941366015e+13, 5.46502558061e+12, 0.0348980236348, 1.3293536461, 8.62206608259e+15, 0.229301808515, 0.0588816744799, 0.345268133323, -0.606488376289, 0.282718118436, 1.21663367581, 4.98566568078, 0.132720090669, 0.725552546786, 4.49537832973, 0.0678924843564, 0.394361326258, 3.64481766601, 14.9315115538, 8.87185023265, 185764.475065, 1501.0, 8.20300339649e+15, 1114434.51826, 6549361.54152, 2330347.0, 0.478226855596, 0.06, 0.0 
EC.BREF..BHZ.2019.01.01.012324, LP , -0.265988609662, 5.33550839848, 0.670025658181, 4901796.0, 2663348.55772, 0.274863407135, 1.32007655141, -24.9801462767, 0.00172482035231, 0.0345385062654, 0.260188510497, -0.290832176614, 1.22211682274, 3.53479821825, 7.39311639143, 0.88575183592, 3.24676003021, 7.09997259391, 0.502981078635, 2.65362249662, 5.75705208628, 19.4973259762, 11.743348932, 109.54987832, 2001.0, 5329360464.0, -2214.0, -1091.0, -1628.29585207, 1.35970376463, 12.7, 12.5, 44.4721686516, 1985.40450556, 802.599756307, 1.06159975684e+13, 5329360464.0, 4.57582002979, 21.0360205533, 2.11469101191e+16, 3944170.84612, 244906745.475, 0.000598217818026, -0.99934749146, 0.00620131930995, 0.00620131930995, 0.577910865713, 0.00144197381359, 0.00144197381359, 0.312267989247, 0.000721167243654, 0.000721167243654, 0.163989086785, 0.0901660159574, 1.8197063616, 72889.5071541, 2001.0, 1.06640502885e+13, 10.775197368, 3258220.0, 4059.58259319, 0.00265426238305, 20.5, 0.0, 10.0336152467, 182.109196802, 2.49314802836, 6.59867806472e+13, 1.06640502885e+13, 0.033390439659, 1.3185900667, 2.20585788858e+16, 0.103834555446, 0.039016147589, 0.324982485652, -0.331029037424, 0.0290039893105, 1.67808305582, 5.51147648188, 0.00721563405349, 1.43223806015, 5.18669341313, 0.00360944656848, 1.10231930725, 4.26606573376, 19.9481222154, 11.9927037143, 219209.306518, 2001.0, 2.13387646272e+16, 3034458.05377, 8123224.76897, 3258220.0, 0.931323868176, 22.04, 0.0 
EC.BREF..BHZ.2019.01.01.012424, OTRO , 1.03291254856, 8.21037519534, 0.216102726237, 9000000.0, 2664161.57095, -0.411272017266, 1.34600806941, -319.708244747, 0.00916398375732, 0.0455162056906, 0.425494666667, -0.453697444444, 0.80926898775, 3.16626880265, 7.00052716726, 0.484741566023, 2.75956719161, 6.65639788905, 0.260537562299, 2.19856143612, 5.59751195123, 16.1221450487, 8.69648541775, 236.695580978, 1501.0, 3998906518.0, -3000.0, -349.0, -1614.97268488, 1.85761655791, 3.58, 3.66, 37.8577476256, 1455.09611611, 362.511961395, 5.87613475748e+12, 3998906518.0, 3.08376957079, 9.62412511839, 8.634685627e+15, 2109519.972, 96539553.5368, 0.00158785242297, -0.997960958973, 0.00799062133097, 0.0226374962168, 1.60689493393, 0.00192231127724, 0.00576949177204, 1.04976502203, 0.000961476237445, 0.00288635316194, 0.571568683982, 0.315646103438, 2.84244762899, 62882.3675866, 1501.0, 6.00235868352e+12, 6.04747641204, 2424074.0, 6686.88004299, 0.000904379377701, 9.48, 0.0, 10.9478447638, 201.57933437, 4.14055302954, 1.00741508405e+14, 6.00235868352e+12, 0.0861676697901, 1.29933216095, 1.17410372246e+16, 3.47954960029, 1.17312430147, 0.423045763792, -0.428241380422, 0.429063186569, 1.38955710763, 5.19482991915, 0.239586422176, 0.920914264675, 4.7433753517, 0.125443506919, 0.515534649067, 3.87928291965, 14.8421634649, 9.33122432098, 355280.067049, 1501.0, 9.00954038396e+15, 961995.23762, 10037006.9445, 2424074.0, 0.396850606714, 0.08, 0.0 
EC.BREF..BHZ.2019.01.01.014604, LP , 0.851795383586, 7.13268435616, 0.481232840163, 5112121.0, 2665525.73427, -0.171070685199, 1.33932735251, 489.15814299, -0.000454247238156, 0.0379944102783, 0.357113808535, -0.290005655187, 1.3351984644, 3.56887348938, 7.34138174376, 1.11736580918, 3.19421059344, 7.05927913074, 0.80231933216, 2.60967425422, 6.06033566323, 10.1397215966, 5.80774427664, 157.871661452, 1001.0, 2668191260.0, -2261.0, -782.0, -1624.99300699, 1.39139060308, 5.02, 4.92, 31.3028674883, 986.841990438, 354.524254713, 2.64588611792e+12, 2668191260.0, 3.79290373322, 14.5045451805, 2.62376966156e+15, 971210.857464, 29945083.6159, 0.000467652802495, -0.999890065263, 0.0113978026301, 0.0113978026301, 1.48072490637, 0.00288250565349, 0.00288250565349, 0.98485090368, 0.00144197417391, 0.00144197417391, 0.540961504134, 0.0935964887914, 1.26673259859, 51450.3638898, 1001.0, 2.67085945126e+12, 4.12819699464, 1626618.0, 4588.17127003, 0.000899747797475, 11.12, 0.0, 10.9947041205, 178.860799686, 2.82350216295, 2.10934392856e+13, 2.67085945126e+12, 0.043992549216, 1.33588196231, 2.91997209577e+15, 0.457139946469, 0.0779879196774, 0.38399898786, -0.38399898786, 0.0850359342525, 1.78178345862, 5.54210654256, 0.0259997897665, 1.43174111929, 5.25579736532, 0.0130299484491, 0.901137068378, 4.38226375811, 9.93102377654, 5.92421535264, 158029.533113, 1001.0, 2.67353031071e+15, 1330091.57659, 4592759.4413, 1626618.0, 0.817703711991, 19.94, 0.0 
